model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15)]",5,0.8203666666666667,0.8637333333333334,94.98,0.04336666666666664,0.0457,19.09736335799257,identity,identity
vit-large-patch16-224,cifar100,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",6,0.8195333333333333,0.8637333333333334,94.88,0.04419999999999996,0.0484999999999999,22.91683602959109,identity,identity
vit-large-patch16-224,cifar100,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18)]",5,0.8195,0.8637333333333334,94.88,0.04423333333333334,0.0482,19.09736335799257,identity,identity
vit-large-patch16-224,cifar100,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",7,0.8129,0.8637333333333334,94.11,0.05083333333333331,0.0569,26.736308701189603,identity,identity
vit-large-patch16-224,cifar100,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",8,0.8125333333333332,0.8637333333333334,94.07,0.0512,0.0559,30.55578137278812,identity,identity
vit-large-patch16-224,cifar100,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16)]",5,0.8124666666666668,0.8637333333333334,94.06,0.051266666666666634,0.0584,19.09736335799257,identity,identity
vit-large-patch16-224,cifar100,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",7,0.8124333333333333,0.8637333333333334,94.06,0.051299999999999964,0.0524,26.736308701189603,identity,identity
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17)]",6,0.8122666666666666,0.8637333333333334,94.04,0.05146666666666666,0.0533,22.91683602959109,identity,identity
vit-large-patch16-224,cifar100,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",6,0.8110333333333334,0.8637333333333334,93.9,0.052700000000000004,0.0562,22.91683602959109,identity,identity
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",7,0.8064,0.8637333333333334,93.36,0.0573333333333333,0.0643,26.736308701189603,identity,identity
vit-large-patch16-224,cifar100,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18)]",6,0.8038,0.8637333333333334,93.06,0.059933333333333304,0.0641,22.91683602959109,identity,identity
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",8,0.7996333333333333,0.8637333333333334,92.58,0.0641,0.067,30.55578137278812,identity,identity
vit-large-patch16-224,cifar100,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",7,0.7985333333333333,0.8637333333333334,92.45,0.06519999999999994,0.0671,26.736308701189603,identity,identity
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",9,0.7966666666666667,0.8637333333333334,92.24,0.06706666666666666,0.0724,34.37525404438664,identity,identity
vit-large-patch16-224,cifar100,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",8,0.7965666666666666,0.8637333333333334,92.22,0.06716666666666667,0.0705,30.55578137278812,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 15), (16, 17)]",2,0.7706666666666667,0.7845666666666666,98.23,0.013899999999999933,0.0171999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 14), (15, 16)]",2,0.7686999999999999,0.7845666666666666,97.98,0.015866666666666668,0.0241,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12), (13, 14)]",2,0.7684000000000001,0.7845666666666666,97.94,0.01616666666666663,0.019,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13), (14, 15)]",2,0.7669666666666667,0.7845666666666666,97.76,0.01759999999999993,0.0227999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 16), (17, 18)]",2,0.7660666666666667,0.7845666666666666,97.64,0.018499999999999964,0.0201,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(20, 21), (22, 23)]",2,0.7648333333333334,0.7845666666666666,97.48,0.019733333333333266,0.0233999999999999,7.6389453431970304,identity,identity
