model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,cifar100,"[(13, 22)]",1,0.7703666666666668,0.8637333333333334,89.19,0.09336666666666667,0.0948,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(9, 15)]",1,0.7698,0.8637333333333334,89.12,0.09393333333333333,0.0985,24.652806004931847,identity,identity
vit-large-patch16-224,cifar100,"[(11, 18)]",1,0.7678666666666668,0.8637333333333334,88.9,0.0958666666666666,0.0969999999999999,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(8, 14)]",1,0.7645,0.8637333333333334,88.51,0.09923333333333327,0.0998,24.652806004931847,identity,identity
vit-large-patch16-224,cifar100,"[(12, 20)]",1,0.761,0.8637333333333334,88.11,0.10273333333333334,0.1102,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(10, 17)]",1,0.7564333333333333,0.8637333333333334,87.58,0.1073,0.1086,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(11, 19)]",1,0.7506333333333334,0.8637333333333334,86.91,0.11309999999999999,0.1166,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(12, 21)]",1,0.7494999999999999,0.8637333333333334,86.77,0.1142333333333333,0.1213,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(12, 23)]",1,0.7485666666666667,0.8637333333333334,86.67,0.11516666666666668,0.1188,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(12, 22)]",1,0.7446,0.8637333333333334,86.21,0.11913333333333333,0.1214,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 13)]",1,0.7427333333333334,0.8637333333333334,85.99,0.121,0.1229,24.652806004931847,identity,identity
vit-large-patch16-224,cifar100,"[(9, 16)]",1,0.7405333333333334,0.8637333333333334,85.74,0.12319999999999993,0.1271999999999999,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(8, 15)]",1,0.7366,0.8637333333333334,85.28,0.1271333333333333,0.131,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(11, 20)]",1,0.7356666666666666,0.8637333333333334,85.17,0.12806666666666666,0.1288,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(6, 12)]",1,0.7344333333333334,0.8637333333333334,85.03,0.1293,0.1339,24.652806004931847,identity,identity
vit-large-patch16-224,cifar100,"[(10, 18)]",1,0.7303000000000001,0.8637333333333334,84.55,0.13343333333333332,0.135,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(11, 23)]",1,0.7248333333333333,0.8637333333333334,83.92,0.1389,0.141,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(11, 21)]",1,0.7239,0.8637333333333334,83.81,0.13983333333333334,0.1426,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(11, 22)]",1,0.7216999999999999,0.8637333333333334,83.56,0.14203333333333332,0.1456,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(10, 19)]",1,0.7202666666666667,0.8637333333333334,83.39,0.14346666666666666,0.1461,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(7, 14)]",1,0.7147,0.8637333333333334,82.75,0.1490333333333333,0.1523999999999999,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(9, 17)]",1,0.7145999999999999,0.8637333333333334,82.73,0.14913333333333334,0.1519,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(8, 16)]",1,0.7040666666666667,0.8637333333333334,81.51,0.15966666666666665,0.161,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(10, 20)]",1,0.7012333333333333,0.8637333333333334,81.19,0.1625,0.1644,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(10, 21)]",1,0.6996666666666668,0.8637333333333334,81.0,0.16406666666666667,0.1679,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(6, 13)]",1,0.6960333333333333,0.8637333333333334,80.58,0.1677,0.1683,28.819472671598515,identity,identity
vit-large-patch16-224,cifar100,"[(10, 22)]",1,0.6912333333333334,0.8637333333333334,80.03,0.1725,0.1791,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(10, 23)]",1,0.6904,0.8637333333333334,79.93,0.1733333333333333,0.1775999999999999,53.81947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(9, 18)]",1,0.6885333333333333,0.8637333333333334,79.72,0.1752,0.1783,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(7, 15)]",1,0.6800333333333333,0.8637333333333334,78.73,0.1837,0.1864,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(8, 17)]",1,0.6777000000000001,0.8637333333333334,78.46,0.18603333333333336,0.1889,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(9, 19)]",1,0.6756666666666667,0.8637333333333334,78.23,0.1880666666666667,0.1898,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(9, 20)]",1,0.6682666666666667,0.8637333333333334,77.37,0.19546666666666665,0.198,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(6, 14)]",1,0.6624666666666666,0.8637333333333334,76.7,0.20126666666666668,0.2051,32.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(9, 21)]",1,0.6620666666666667,0.8637333333333334,76.65,0.20166666666666666,0.2063,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(9, 23)]",1,0.6551666666666667,0.8637333333333334,75.85,0.20856666666666657,0.2100999999999999,57.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(9, 22)]",1,0.6531333333333333,0.8637333333333334,75.62,0.2106,0.2187,53.81947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 16)]",1,0.6523666666666667,0.8637333333333334,75.53,0.21136666666666667,0.2142,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(8, 18)]",1,0.649,0.8637333333333334,75.14,0.21473333333333333,0.2205,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(8, 19)]",1,0.6329666666666668,0.8637333333333334,73.28,0.2307666666666666,0.242,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(6, 15)]",1,0.6280666666666667,0.8637333333333334,72.72,0.23566666666666666,0.2415,37.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(8, 20)]",1,0.6247333333333334,0.8637333333333334,72.33,0.23899999999999996,0.2434,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(8, 21)]",1,0.6215,0.8637333333333334,71.96,0.24223333333333333,0.2517,53.81947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 17)]",1,0.6211333333333333,0.8637333333333334,71.91,0.24259999999999995,0.2517,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(8, 22)]",1,0.6176333333333334,0.8637333333333334,71.51,0.24609999999999996,0.2508,57.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(8, 23)]",1,0.6164000000000001,0.8637333333333334,71.36,0.2473333333333333,0.2499,62.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(6, 16)]",1,0.6006,0.8637333333333334,69.54,0.2631333333333334,0.2685,41.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 18)]",1,0.5916,0.8637333333333334,68.49,0.27213333333333334,0.2761,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(7, 22)]",1,0.5798,0.8637333333333334,67.13,0.28393333333333337,0.2885000000000001,62.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(6, 17)]",1,0.5738333333333333,0.8637333333333334,66.44,0.2899,0.3028,45.48613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(7, 19)]",1,0.5723333333333334,0.8637333333333334,66.26,0.2914,0.2999,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(7, 23)]",1,0.5718666666666666,0.8637333333333334,66.21,0.29186666666666666,0.2958,66.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 20)]",1,0.5642333333333333,0.8637333333333334,65.32,0.29950000000000004,0.3049,53.81947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(7, 21)]",1,0.5616666666666666,0.8637333333333334,65.03,0.30206666666666665,0.3031,57.98613933826518,identity,identity
vit-large-patch16-224,cifar100,"[(6, 18)]",1,0.549,0.8637333333333334,63.56,0.3147333333333333,0.3265,49.65280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(6, 23)]",1,0.5444333333333333,0.8637333333333334,63.03,0.31930000000000003,0.3226,70.48613933826518,identity,identity
