dataset,model,approx_layer,translator,mlp_linearize,mlp_mode,attn_linearize,head_dict,accuracy_mean,accuracy_std
dermamnist,microsoft/rad-dino,[],linear,[],linear,[],{},0.7009143807148795,0.0074702051333868594
dermamnist,microsoft/rad-dino,[],identity,[],identity,[],{},0.7009143807148795,0.0074702051333868594
dermamnist,microsoft/rad-dino,[],identity,[],identity,"[1, 3]",{},0.7007481296758105,0.008653043178502441
dermamnist,microsoft/rad-dino,"[(5, 6)]",identity,[],identity,[],{},0.7005818786367414,0.004525571933105993
dermamnist,microsoft/rad-dino,[],identity,"[1, 3]",identity,[],{},0.7004156275976725,0.007796092493894173
dermamnist,microsoft/rad-dino,[],identity,[],identity,[6],{},0.7002493765586034,0.006522043307043403
dermamnist,microsoft/rad-dino,"[(5, 6)]",linear,[],identity,[],{},0.7000831255195346,0.0033949422870593804
dermamnist,microsoft/rad-dino,[],identity,"[1, 3]",linear,[],{},0.6989193682460515,0.007732013934652368
dermamnist,microsoft/rad-dino,[],identity,[1],identity,[],{},0.6975893599334997,0.00511880442837599
dermamnist,microsoft/rad-dino,[],identity,[],identity,[1],{},0.6964256026600166,0.00479253044236062
