seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
3,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6525654170195694,0.6389247982882361,0.0136406187313332,250,0.5317166674096198,74527744,24.652806004931847
1,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.5803949538626131,0.5947488075602907,-0.0143538536976776,250,0.5317166674096198,74527744,24.652806004931847
2,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6116435608255695,0.6151651584718941,-0.0035215976463246,250,0.5317166674096198,74527744,24.652806004931847
3,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6525654170195694,0.6253287567422993,0.0272366602772701,250,0.5317166674096198,74527744,24.652806004931847
1,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8461538461538461,0.8397435897435898,0.0064102564102563,250,0.625,11546624,3.8194726715985152
2,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8573717948717948,0.844551282051282,0.0128205128205127,250,0.625,11546624,3.8194726715985152
3,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.7948717948717948,0.7996794871794872,-0.0048076923076924,250,0.625,11546624,3.8194726715985152
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8646,0.8684,-0.0037999999999999,250,0.01,11546624,3.8194726715985152
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8609,0.8619,-0.001,250,0.01,11546624,3.8194726715985152
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8657,0.8627,0.003,250,0.01,11546624,3.8194726715985152
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.7864,0.7713,0.0151,250,0.0019,11546624,3.8194726715985152
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.7835,0.7714,0.0121,250,0.0019,11546624,3.8194726715985152
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.7838,0.7764,0.0074,250,0.0019,11546624,3.8194726715985152
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.5803949538626131,0.5854321758124192,-0.0050372219498061,250,0.5317166674096198,12596224,4.166666666666667
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6116435608255695,0.6028618553024562,0.0087817055231133,250,0.5317166674096198,12596224,4.166666666666667
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6525654170195694,0.6485534703338831,0.0040119466856862,250,0.5317166674096198,12596224,4.166666666666667
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.5803949538626131,0.5825792359470423,-0.0021842820844292,250,0.5317166674096198,11546624,3.8194726715985152
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6116435608255695,0.5999197610662863,0.0117237997592831,250,0.5317166674096198,11546624,3.8194726715985152
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6525654170195694,0.6506931752329158,0.0018722417866535,250,0.5317166674096198,11546624,3.8194726715985152
1,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.5803949538626131,0.584897249587661,-0.0045022957250479,250,0.5317166674096198,11546624,3.8194726715985152
2,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6116435608255695,0.5989836401729595,0.01265992065261,250,0.5317166674096198,11546624,3.8194726715985152
