skip_config,accuracy_mean,accuracy_std
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [3, 4, 19, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.7225666666666667,0.0018175074506954958
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.7412666666666666,0.0015947831618540354
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.7438666666666666,0.005607435539828623
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 21, 22, 23], MLP Mode: identity, Attn: []",0.7579333333333333,0.0026159765544311406
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 21, 22, 23], MLP Mode: linear, Attn: []",0.7515000000000001,0.0010816653826391854
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 22, 23], MLP Mode: identity, Attn: []",0.7703666666666668,0.0036004629331980184
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 22, 23], MLP Mode: linear, Attn: []",0.7638333333333334,0.004867579823005823
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4], MLP Mode: identity, Attn: []",0.7769333333333334,0.0026839026311201077
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4], MLP Mode: linear, Attn: []",0.7786,0.0013228756555323593
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [8, 16], MLP Mode: identity, Attn: []",0.7792333333333333,0.0012662279942148088
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [8, 16], MLP Mode: linear, Attn: []",0.7777666666666666,0.0016802777548170927
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [17, 23]",0.7772,0.002685144316419488
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [18, 19, 20, 21, 22, 23]",0.6671,0.003151190251317704
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [23]",0.7827999999999999,0.0010148891565092155
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [3, 4, 19, 20, 21, 22, 23]",0.6529666666666666,0.000585946527708246
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 20, 21, 22, 23]",0.7205666666666666,0.001429452109492729
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 21, 22, 23]",0.7414000000000001,0.0016822603841260444
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 22, 23]",0.7605666666666666,0.001357694123627716
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4]",0.7788333333333334,0.002779088579612622
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [8, 16]",0.7718666666666666,0.0027061657993059703
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7846000000000001,0.0014933184523067734
