skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 12), (13, 14), (15, 16), (17, 18), (19, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6933666666666666,0.0005131601439447473,135
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 13), (14, 15), (16, 17), (18, 19), (20, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6906666666666667,0.0020550750189064445,138
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 14), (15, 16), (17, 18), (19, 20), (21, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6875333333333332,0.002311565126344741,141
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(14, 15), (16, 17), (18, 19), (20, 21), (22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7000333333333333,0.0020108041509141034,144
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6800333333333333,0.0034559128075420573,147
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6732999999999999,0.004995998398718735,150
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6723333333333333,0.0023245071162148355,153
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6682,0.0032924155266308873,156
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6691333333333334,0.0033381631675718335,159
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6604666666666666,0.0009865765724632496,162
