skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8632,0.0006244997998398266,204
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8636333333333334,0.004680099714037409,207
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [21, 22, 23], MLP Mode: identity, Attn: []",0.8674666666666666,0.0020526405757788123,210
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [21, 22, 23], MLP Mode: linear, Attn: []",0.8647333333333332,0.0014011899704655612,213
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [21, 22, 23]",0.8579,0.0016822603841260535,216
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (21, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8465333333333334,0.00020816659994659034,219
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (21, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8643000000000001,0.0025632011235952254,222
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 22, 23], MLP Mode: identity, Attn: []",0.8548666666666667,0.0030005555041247526,225
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 22, 23], MLP Mode: linear, Attn: []",0.8631000000000001,0.004299999999999984,228
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 22, 23]",0.8452666666666667,0.00041633319989325626,231
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 22)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8645999999999999,0.0010816653826392316,234
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8622,0.001552417469625986,237
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [21, 22], MLP Mode: identity, Attn: []",0.864,0.004158124577258344,240
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [21, 22], MLP Mode: linear, Attn: []",0.8647666666666667,0.0008386497083605959,243
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [21, 22]",0.8607999999999999,0.0015716233645501764,246
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (21, 22)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.846,0.0011135528725660163,249
