skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6898333333333334,0.001305118130030138,240
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6497,0.003973663297261159,243
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5995,0.0027184554438136354,246
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5478666666666666,0.0005033222956847347,249
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.49393333333333334,0.0018175074506954069,252
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.43546666666666667,0.003092463958291731,255
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.39199999999999996,0.003704051835490449,258
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.36846666666666666,0.0016623276853055364,261
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7775333333333333,0.0017616280348964745,264
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7656333333333333,0.003137408697210704,267
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.75,0.0024879710609249316,270
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7289,0.0025514701644346483,273
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6967666666666666,0.003583759664560818,276
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6660666666666667,0.0022501851775650226,279
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6054666666666667,0.0013503086067019297,282
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5276333333333333,0.0018147543451754876,285
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.45333333333333337,0.0029143323992525862,288
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.37923333333333337,0.002746512940681942,291
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4059,0.001493318452306801,294
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7797999999999999,0.0016093476939430776,297
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7687333333333334,0.0031879983270593415,300
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7575,0.0011532562594670885,303
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7349,0.002078460969082648,306
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7041666666666666,0.0039551653989856675,309
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6476666666666667,0.0015373136743466803,312
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5583666666666667,0.003089228598426087,315
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5063666666666666,0.007150058274820786,318
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.43546666666666667,0.0009018499505645904,321
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4704,0.00255147016443462,324
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(14, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7806666666666667,0.001955334583475015,327
