seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7321695760598503,0.7366583541147133,-0.0044887780548629,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7311720698254364,0.7321695760598503,-0.0009975062344139,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},identity,identity,0,0.7216957605985037,0.6643391521197007,0.0573566084788029,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},identity,identity,0,0.7321695760598503,0.7182044887780549,0.0139650872817954,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},identity,identity,0,0.7311720698254364,0.7226932668329177,0.0084788029925186,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},identity,identity,0,0.7216957605985037,0.6653366583541147,0.056359102244389,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},identity,identity,0,0.7321695760598503,0.7236907730673316,0.0084788029925186,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],{},identity,identity,0,0.7311720698254364,0.7316708229426434,-0.000498753117207,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},identity,identity,0,0.7216957605985037,0.6897755610972569,0.0319201995012468,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},identity,identity,0,0.7321695760598503,0.7381546134663342,-0.0059850374064838,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 3]",[],{},identity,identity,0,0.7311720698254364,0.7197007481296758,0.0114713216957605,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},identity,identity,0,0.7216957605985037,0.7446384039900249,-0.0229426433915211,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},identity,identity,0,0.7321695760598503,0.744139650872818,-0.0119700748129676,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[1],[],{},identity,identity,0,0.7311720698254364,0.7326683291770574,-0.001496259351621,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},identity,identity,0,0.7216957605985037,0.7042394014962593,0.0174563591022444,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},identity,identity,0,0.7321695760598503,0.744139650872818,-0.0119700748129676,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[6],[],{},identity,identity,0,0.7311720698254364,0.7271820448877806,0.0039900249376557,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 2, 3, 4]",{},identity,identity,0,0.7216957605985037,0.686284289276808,0.0354114713216957,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 2, 3, 4]",{},identity,identity,0,0.7321695760598503,0.7546134663341646,-0.0224438902743142,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 2, 3, 4]",{},identity,identity,0,0.7311720698254364,0.7411471321695761,-0.0099750623441396,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3, 5]",{},identity,identity,0,0.7216957605985037,0.6728179551122194,0.0488778054862842,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3, 5]",{},identity,identity,0,0.7321695760598503,0.7516209476309227,-0.0194513715710723,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3, 5]",{},identity,identity,0,0.7311720698254364,0.6947630922693266,0.0364089775561097,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3]",{},identity,identity,0,0.7216957605985037,0.7251870324189527,-0.0034912718204489,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3]",{},identity,identity,0,0.7321695760598503,0.7481296758104738,-0.0159600997506235,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],"[1, 3]",{},identity,identity,0,0.7311720698254364,0.6967581047381546,0.0344139650872817,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[1],{},identity,identity,0,0.7216957605985037,0.7401496259351621,-0.0184538653366583,250
