seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7419,0.4984,0.2435,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7463,0.5374,0.2088999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7375,0.5439,0.1936,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7445,0.5392,0.2053,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7451,0.5424,0.2027,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7419,0.5353,0.2066,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7463,0.6076,0.1386999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7375,0.6051,0.1324,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7445,0.6069,0.1376,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7451,0.6027,0.1423999999999999,250,0.0019,7089408,8.333333333333334
