seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(21, 22)]",[],[],{},identity,identity,1,0.8646,0.8665,-0.0019,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(21, 22)]",[],[],{},identity,identity,1,0.8609,0.8652,-0.0042999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(21, 22)]",[],[],{},identity,identity,1,0.8657,0.8649,0.0008,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(22, 23)]",[],[],{},identity,identity,1,0.8646,0.8689,-0.0042999999999999,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(22, 23)]",[],[],{},identity,identity,1,0.8609,0.8659,-0.005,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(22, 23)]",[],[],{},identity,identity,1,0.8657,0.8688,-0.0030999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.8646,0.4789,0.3857,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.8609,0.4731,0.3878,250,0.01,25192448,8.333333333333334
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.8657,0.4691,0.3966,250,0.01,25192448,8.333333333333334
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.8646,0.6267,0.2379,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.8609,0.624,0.2369,250,0.01,25192448,8.333333333333334
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.8657,0.6275,0.2382,250,0.01,25192448,8.333333333333334
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.8646,0.7427,0.1219,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.8609,0.7374,0.1234999999999999,250,0.01,25192448,8.333333333333334
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.8657,0.7394,0.1263,250,0.01,25192448,8.333333333333334
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.8646,0.7748,0.0897999999999999,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.8609,0.7812,0.0797,250,0.01,25192448,8.333333333333334
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.8657,0.7755,0.0902,250,0.01,25192448,8.333333333333334
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.8646,0.7814,0.0832,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.8609,0.7782,0.0827,250,0.01,25192448,8.333333333333334
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.8657,0.7761,0.0896,250,0.01,25192448,8.333333333333334
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 7)]",[],[],{},identity,identity,2,0.8646,0.8015,0.0631,250,0.01,25192448,8.333333333333334
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 7)]",[],[],{},identity,identity,2,0.8609,0.7952,0.0656999999999999,250,0.01,25192448,8.333333333333334
