model,dataset,approx_layer_str,translator_linear,accuracy_mean_linear,accuracy_std_linear,skip_distance,skip_count,first_skip,translator_identity,accuracy_mean_identity,accuracy_std_identity
facebook/deit-base-patch16-224,cifar100,"[(5, 7)]",linear,0.6783333333333333,0.0005773502691896,1,2,5,identity,0.6536333333333334,0.0033857544703261
facebook/deit-small-patch16-224,pneumoniamnist,"[(5, 7)]",linear,0.8130341880341879,0.00882623485142,1,2,5,identity,0.8167735042735043,0.006476685712063
facebook/deit-small-patch16-224,dermamnist,"[(5, 7)]",linear,0.7256857855361596,0.0056647464796012,1,2,5,identity,0.7278470490440565,0.0046342011187918
facebook/deit-small-patch16-224,cifar100,"[(5, 7)]",linear,0.6627,0.0043714985988788,1,2,5,identity,0.6467666666666667,0.0002516611478424
facebook/deit-small-patch16-224,imagenet-1k,"[(5, 7)]",linear,0.6255333333333333,0.0007505553499464,1,2,5,identity,0.6314333333333333,0.0019218047073865
facebook/dinov2-base,pneumoniamnist,"[(5, 7)]",linear,0.8712606837606837,0.0101776489760991,1,2,5,identity,0.859508547008547,0.0408680031002888
facebook/dinov2-base,cifar100,"[(5, 7)]",linear,0.8060333333333333,0.0018770544300401,1,2,5,identity,0.4306333333333333,0.0064825406541982
facebook/dinov2-base,dermamnist,"[(5, 7)]",linear,0.7363258520365753,0.0197265107181329,1,2,5,identity,0.7188694929343309,0.0139680557348595
facebook/dinov2-base,imagenet-1k,"[(5, 7)]",linear,0.6397,0.0038085430285084,1,2,5,identity,0.1571,0.0045049972253043
google/vit-base-patch16-224,pneumoniamnist,"[(5, 7)]",linear,0.8338675213675213,0.01765246970284,1,2,5,identity,0.8461538461538461,0.0251862718677912
google/vit-base-patch16-224,cifar100,"[(5, 7)]",linear,0.7874333333333334,0.0014011899704655,1,2,5,identity,0.7403333333333334,0.0018583146486354
google/vit-base-patch16-224,dermamnist,"[(5, 7)]",linear,0.7566084788029924,0.0039900249376558,1,2,5,identity,0.7497921862011637,0.0061557800769987
google/vit-base-patch16-224,imagenet-1k,"[(5, 7)]",linear,0.6731333333333334,0.0013650396819628,1,2,5,identity,0.6516666666666667,0.0023965252624024
google/vit-large-patch16-224,pneumoniamnist,"[(5, 7)]",linear,0.7745726495726496,0.0791662341245666,1,2,5,identity,0.8504273504273504,0.0193859479825042
google/vit-large-patch16-224,dermamnist,"[(5, 7)]",linear,0.7047381546134663,0.0103062236008836,1,2,5,identity,0.7511221945137158,0.007193119751549
google/vit-large-patch16-224,cifar100,"[(5, 7)]",linear,0.4259666666666666,0.0014224392195567,1,2,5,identity,0.7975,0.0034770677301427
google/vit-large-patch16-224,imagenet-1k,"[(5, 7)]",linear,0.0773333333333333,0.0035641735835019,1,2,5,identity,0.7511333333333333,0.0012662279942148
microsoft/rad-dino,pneumoniamnist,"[(5, 7)]",linear,0.8760683760683761,0.007401926528072,1,2,5,identity,0.8856837606837606,0.0112560403342443
microsoft/rad-dino,dermamnist,"[(5, 7)]",linear,0.6997506234413965,0.0108700721784056,1,2,5,identity,0.7110556940980882,0.002076474812435
microsoft/rad-dino,cifar100,"[(5, 7)]",linear,0.2968333333333333,0.0041186567389542,1,2,5,identity,0.3202333333333333,0.0086071675557835
microsoft/rad-dino,imagenet-1k,"[(5, 7)]",linear,0.0785333333333333,0.0017214335111567,1,2,5,identity,0.0833333333333333,0.001497776129244
facebook/deit-base-patch16-224,pneumoniamnist,"[(6, 8)]",linear,0.8290598290598291,0.0051515228424108,1,2,6,identity,0.8504273504273504,0.0082237202555238
facebook/deit-base-patch16-224,dermamnist,"[(6, 8)]",linear,0.7436408977556109,0.0100123989525609,1,2,6,identity,0.7356608478802992,0.0074479723307072
facebook/deit-base-patch16-224,cifar100,"[(6, 8)]",linear,0.6875333333333332,0.00130511813003,1,2,6,identity,0.6803666666666667,0.0037447741364911
