model,dataset,shape,cka_screened,n_spans,intercept,r2_in_sample,r2_loo_cv,coef_cka,coef_block_drop_sum,coef_cka_1,coef_cka_2
facebook/dinov2-base,cifar100,contiguous,False,10,0.1261211150169107,0.6644069736979745,-0.5043569330942683,-0.13974963591210496,0.9728718435331393,,
facebook/dinov2-base,dermamnist,contiguous,False,10,0.009544284865170493,0.2599167779785039,-0.21456167666415626,-0.014689937836168636,0.3872272151157282,,
facebook/dinov2-base,dermamnist,contiguous,True,7,0.03930174873881724,0.26651474195160374,-2.4178307415292775,-0.0577055280212163,-0.19576817051959866,,
facebook/dinov2-base,imagenet-1k,contiguous,False,10,0.18031655616066442,0.8378975912378485,0.0697055080507224,-0.19204635087822255,0.8928515350785128,,
facebook/dinov2-base,imagenet-1k,disjoint,False,45,-0.009448749294118689,0.9810115308246119,0.9733549085268134,,0.9346801563316897,0.03638063842152943,-0.0035987433447656064
facebook/dinov2-base,pneumoniamnist,contiguous,False,10,0.001848600014056287,0.16969487017775264,-2.2467104524571586,0.00973186261729049,-0.29923643942405603,,
facebook/dinov2-base,pneumoniamnist,contiguous,True,7,-0.023811186976256806,0.24343918174064227,-4.4719272473773835,0.040753005779629925,0.07254308325898765,,
google/vit-base-patch16-224,cifar100,contiguous,False,10,0.011438050821031645,0.9261191207500022,0.6963322431191274,-0.046262342516301104,2.4263317673001725,,
google/vit-base-patch16-224,cifar100,contiguous,True,9,0.011445776945713202,0.925833152883799,0.5301079930395203,-0.04626893056374309,2.4262890548276803,,
google/vit-base-patch16-224,dermamnist,contiguous,False,10,-0.006852787607126443,0.12873202414338658,-0.44103887483528026,-0.003480975646048157,0.3205530981102526,,
google/vit-base-patch16-224,imagenet-1k,contiguous,False,10,0.06883564922667931,0.5046670844810862,0.12172115763866997,-0.05853437123707892,1.527131545753064,,
google/vit-base-patch16-224,pneumoniamnist,contiguous,False,10,0.04061007058370375,0.4972825687477731,0.10005153227471963,-0.04685787842132429,1.2105743820755546,,
google/vit-base-patch16-224,pneumoniamnist,contiguous,True,9,0.04293639600378955,0.4768677781536762,-0.6354604016626462,-0.04942325869266349,1.224058809649872,,
google/vit-large-patch16-224,cifar100,contiguous,False,22,0.10088855698504803,0.745126892130809,-0.5619856244318127,-0.0844515640037733,0.5508006090444226,,
google/vit-large-patch16-224,cifar100,contiguous,True,20,0.11000313147295208,0.9975000963336657,0.9382113304012588,-0.10792065855208595,1.219503270172309,,
google/vit-large-patch16-224,dermamnist,contiguous,False,22,0.020725891834285113,0.7452552902790374,-0.40122879511207077,-0.022756757347994226,0.5991889566681934,,
google/vit-large-patch16-224,dermamnist,contiguous,True,20,0.02433118955910223,0.9720827359903685,0.9241635898356184,-0.022130740308107105,1.0083493456840675,,
google/vit-large-patch16-224,imagenet-1k,contiguous,False,22,0.022967933509580183,0.7623035821616745,-0.5688839990973196,0.007477716239183371,0.5849365648931116,,
google/vit-large-patch16-224,imagenet-1k,contiguous,True,20,0.09362015144764534,0.9983186653852546,0.561528922223927,-0.08648381528268419,1.090550776512118,,
google/vit-large-patch16-224,imagenet-1k,disjoint,False,186,0.05156499774281722,0.9987100960377071,0.9981926046982117,,0.9593047120200459,-0.02236710622847272,-0.02652836188678941
google/vit-large-patch16-224,pneumoniamnist,contiguous,False,22,0.002091413721317603,0.0843031932909144,-1.159394237065317,-0.001957351603236124,0.6320912813330566,,
google/vit-large-patch16-224,pneumoniamnist,contiguous,True,20,0.024232635468616516,0.30156785046152346,0.044953570433105106,-0.026172852747196617,0.9757509247011752,,
microsoft/rad-dino,cifar100,contiguous,False,10,-0.04113454409134772,0.8733402683442044,0.787809861997614,0.050610833411245275,1.2455698477019053,,
microsoft/rad-dino,dermamnist,contiguous,False,10,0.008363302913971561,0.2862429243193103,-0.3757628159087356,-0.009297657181270548,0.8935386302208986,,
microsoft/rad-dino,imagenet-1k,contiguous,False,10,0.0038619532706672716,0.22813520639400697,-0.47640245934785286,-0.006679533731699042,0.3632635891086412,,
microsoft/rad-dino,pneumoniamnist,contiguous,False,10,-0.005335392497704391,0.5630577913049784,0.28977354820526047,0.011459222537653021,0.5085695299183995,,
