model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std
facebook/deit-small-patch16-224,mnist,{},72,0.9617333333333334,0.0033080709383768708
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11], 1: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], 2: [0, 2, 5, 7, 8, 9, 10], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 6: [0, 1, 2, 3, 4, 5, 6, 7, 9, 11], 7: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], 10: [0, 1, 2, 3, 4, 5, 6, 7, 9, 11], 11: [0, 2, 3, 6]}",120,0.6121666666666666,0.0038850139424889984
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 4, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 8, 9, 10, 11], 2: [0, 2, 5, 7, 8, 9], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 6: [0, 1, 3, 4, 5, 11], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 9: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10], 10: [0, 1, 2, 3, 5, 7, 9, 11], 11: [0, 3, 6]}",104,0.4223666666666667,0.021724256795879877
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 5, 8, 11], 2: [0, 2, 7, 8], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8], 4: [0, 1, 2, 3, 4, 5, 6, 7, 9], 5: [0, 2, 3, 4, 5, 6, 7, 9, 10], 6: [0, 1, 3, 4, 5], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 2, 4, 7, 9], 9: [0, 1, 2, 4, 6, 10], 10: [0, 1, 3, 10], 11: [0, 3, 6]}",80,0.2916666666666667,0.019129122649335837
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 4, 5, 8, 11], 2: [0, 2, 8], 3: [0, 1, 2, 3, 4, 6, 7, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 4, 5, 6, 9, 10], 6: [0, 1, 4, 5], 7: [0, 2, 3, 4, 6, 9, 10], 8: [0, 4, 9], 9: [0, 1, 11], 10: [0, 10], 11: [0]}",59,0.17306666666666667,0.01695651300631512
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 4, 5, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 4, 5, 10], 6: [0, 1, 5], 7: [0, 3, 4, 6, 7, 10], 8: [0], 9: [0, 11], 10: [0], 11: [0]}",47,0.1203,0.015881120867243595
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5, 11], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3], 6: [0, 1, 5], 7: [0, 4, 6], 8: [0], 9: [0], 10: [0], 11: [0]}",38,0.10006666666666668,0.013838472940802876
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 5], 6: [0, 1, 5], 7: [0, 3, 4, 6], 8: [0], 9: [0], 10: [0], 11: [0]}",41,0.09703333333333335,0.02244378161837558
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0], 6: [0, 1, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",34,0.09253333333333334,0.010598742063723096
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 7], 5: [0], 6: [0, 1], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",30,0.09249999999999999,0.014226383939708646
