model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std,threshold,attention_head_saving,model_size
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 8, 9], 1: [0, 1, 2, 3, 4, 5, 8, 11], 2: [0, 2, 7, 8], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8], 4: [0, 1, 2, 3, 4, 5, 6, 7, 9], 5: [0, 2, 3, 4, 5, 6, 7, 9, 10], 6: [0, 1, 3, 4, 5], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 2, 4, 7, 9], 9: [0, 1, 2, 4, 6, 10], 10: [0, 1, 3, 10], 11: [0, 3, 6]}",80,0.2916666666666667,0.019129122649335837,0.75,12.544,73.456
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 4, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 8, 9, 10, 11], 2: [0, 2, 5, 7, 8, 9], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 6: [0, 1, 3, 4, 5, 11], 7: [0, 1, 2, 3, 4, 6, 7, 9, 10, 11], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 9: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10], 10: [0, 1, 2, 3, 5, 7, 9, 11], 11: [0, 3, 6]}",104,0.4223666666666667,0.021724256795879877,0.8,7.84,78.16
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11], 1: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], 2: [0, 2, 5, 7, 8, 9, 10], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 6: [0, 1, 2, 3, 4, 5, 6, 7, 9, 11], 7: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], 10: [0, 1, 2, 3, 4, 5, 6, 7, 9, 11], 11: [0, 2, 3, 6]}",120,0.6121666666666666,0.0038850139424889984,0.85,4.704000000000001,81.29599999999999
facebook/dinov2-base,cifar100,"{1: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], 2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]}",141,0.8720333333333333,0.001625833119767604,0.9,0.5880000000000001,85.412
facebook/dinov2-base,cifar100,{},144,0.8720666666666667,0.0047427137098219625,0.95,0.0,86.0
facebook/dinov2-base,cifar100,{},144,0.8720666666666667,0.0047427137098219625,1.0,0.0,86.0
google/vit-large-patch16-224,cifar100,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",24,0.2616,0.005121523210920722,0.05,94.32000000000001,212.68
google/vit-large-patch16-224,cifar100,"{0: [0], 1: [0, 1, 7], 2: [0, 3, 11], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",28,0.2618,0.007092954250522139,0.1,93.272,213.728
google/vit-large-patch16-224,cifar100,"{0: [0, 5], 1: [0, 1, 7], 2: [0, 3, 5, 11], 3: [0, 14], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",31,0.27573333333333333,0.009383140909809106,0.15,92.486,214.514
google/vit-large-patch16-224,cifar100,"{0: [0, 5], 1: [0, 1, 7], 2: [0, 2, 3, 11], 3: [0, 14], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",31,0.26313333333333333,0.008800189391901327,0.2,92.486,214.514
google/vit-large-patch16-224,cifar100,"{0: [0, 5], 1: [0, 1, 7], 2: [0, 1, 3, 11], 3: [0, 14], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",31,0.2625,0.010737318100903958,0.25,92.486,214.514
google/vit-large-patch16-224,cifar100,"{0: [0, 5], 1: [0, 1, 7], 2: [0, 1, 3, 11], 3: [0, 7, 14], 4: [0, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",33,0.26356666666666667,0.008434650753489028,0.3,91.962,215.038
google/vit-large-patch16-224,cifar100,"{0: [0, 5, 9], 1: [0, 1, 7, 10], 2: [0, 1, 3, 11], 3: [0, 7, 14], 4: [0, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",35,0.2880666666666667,0.003728717384481346,0.35,91.438,215.562
google/vit-large-patch16-224,cifar100,"{0: [0, 5, 9], 1: [0, 1, 7, 10], 2: [0, 1, 3, 11], 3: [0, 7, 14], 4: [0, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",35,0.2880666666666667,0.003728717384481346,0.4,91.438,215.562
google/vit-large-patch16-224,cifar100,"{0: [0, 5, 8], 1: [0, 1, 7, 10], 2: [0, 1, 3, 11], 3: [0, 7, 14], 4: [0, 2, 3], 5: [0, 1, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",38,0.29563333333333336,0.004252450274057693,0.45,90.652,216.348
google/vit-large-patch16-224,cifar100,"{0: [0, 4, 5, 9], 1: [0, 1, 7, 10], 2: [0, 1, 3, 11], 3: [0, 7, 8, 14], 4: [0, 2, 3, 4], 5: [0, 1, 2, 4, 13], 6: [0, 14], 7: [0, 3], 8: [0, 6], 9: [0, 4], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",47,0.27373333333333333,0.006425988899253837,0.5,88.294,218.70600000000002
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 5], 1: [0, 1, 4, 7, 10], 2: [0, 1, 3, 5, 10, 11], 3: [0, 7, 8, 14], 4: [0, 2, 3, 4, 7], 5: [0, 1, 2, 4, 13], 6: [0, 10, 12, 14], 7: [0, 3, 7], 8: [0, 6, 8], 9: [0, 4], 10: [0, 8, 15], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",56,0.2986666666666667,0.0033650160970392856,0.55,85.936,221.064
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 5, 9], 1: [0, 1, 4, 7, 8, 10], 2: [0, 1, 3, 5, 8, 11], 3: [0, 1, 3, 7, 10, 14], 4: [0, 2, 3, 4, 5, 6, 7, 13], 5: [0, 1, 2, 4, 9, 13, 15], 6: [0, 1, 10, 11, 14, 15], 7: [0, 3, 7, 12], 8: [0, 6, 8], 9: [0, 1], 10: [0, 3, 4, 8], 11: [0], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",69,0.39873333333333333,0.0041016256939576095,0.6,82.53,224.47
