seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7128,0.3358,0.377,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.712,0.3241,0.3878999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 3], 5: [0, 1], 6: [0, 3, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1], 10: [0], 11: [0]}",identity,identity,0,0.7126,0.3689,0.3437,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 3], 5: [0, 1], 6: [0, 3, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1], 10: [0], 11: [0]}",identity,identity,0,0.7128,0.3697,0.3431,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 3], 5: [0, 1], 6: [0, 3, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1], 10: [0], 11: [0]}",identity,identity,0,0.712,0.364,0.348,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.7126,0.3795,0.3331,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.7128,0.3858,0.327,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1], 2: [0, 1, 2, 4], 3: [0, 1], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.712,0.381,0.3309999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 5], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2, 3], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.7126,0.3963,0.3163,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 5], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2, 3], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.7128,0.4022,0.3106,500
