seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.9385,0.0243999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.938,0.02,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.9402,0.0241,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 3, 4], 6: [0, 3, 4], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.948,0.0149,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 3, 4], 6: [0, 3, 4], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.9458,0.0121999999999999,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 3, 4], 6: [0, 3, 4], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.9486,0.0157,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 2, 3, 4, 5], 6: [0, 1, 2, 4, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",identity,identity,0,0.9629,0.9439,0.019,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 2, 3, 4, 5], 6: [0, 1, 2, 4, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",identity,identity,0,0.958,0.9425,0.0154999999999999,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 2, 3, 4, 5], 6: [0, 1, 2, 4, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",identity,identity,0,0.9643,0.9436,0.0207,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 6: [0, 1, 2, 4, 5], 7: [0, 2, 4], 8: [0, 2, 3, 4, 5], 9: [0, 4], 10: [0], 11: [0, 5]}",identity,identity,0,0.9629,0.9624,0.0004999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 6: [0, 1, 2, 4, 5], 7: [0, 2, 4], 8: [0, 2, 3, 4, 5], 9: [0, 4], 10: [0], 11: [0, 5]}",identity,identity,0,0.958,0.9609,-0.0029,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 6: [0, 1, 2, 4, 5], 7: [0, 2, 4], 8: [0, 2, 3, 4, 5], 9: [0, 4], 10: [0], 11: [0, 5]}",identity,identity,0,0.9643,0.963,0.0013,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 7: [0, 1, 3, 4, 5], 8: [0, 1, 2, 4, 5], 9: [0, 1, 2, 3, 5], 10: [0, 2], 11: [0, 5]}",identity,identity,0,0.9629,0.9641,-0.0011999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 7: [0, 1, 3, 4, 5], 8: [0, 1, 2, 4, 5], 9: [0, 1, 2, 3, 5], 10: [0, 2], 11: [0, 5]}",identity,identity,0,0.958,0.9608,-0.0028,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2, 4], 7: [0, 1, 3, 4, 5], 8: [0, 1, 2, 4, 5], 9: [0, 1, 2, 3, 5], 10: [0, 2], 11: [0, 5]}",identity,identity,0,0.9643,0.9647,-0.0003999999999999,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 2, 4, 5], 10: [0, 1, 2, 5], 11: [0, 2, 3, 5]}",identity,identity,0,0.9629,0.9626,0.0002999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 2, 4, 5], 10: [0, 1, 2, 5], 11: [0, 2, 3, 5]}",identity,identity,0,0.958,0.9592,-0.0012,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 2, 4, 5], 10: [0, 1, 2, 5], 11: [0, 2, 3, 5]}",identity,identity,0,0.9643,0.9628,0.0015,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.9669,0.9669,0.0,500
2,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.9639,0.9639,0.0,500
3,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.9754,0.9754,0.0,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 4], 2: [0], 3: [0, 2], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9669,0.4295,0.5374,500
2,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 4], 2: [0], 3: [0, 2], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9639,0.4756,0.4882999999999999,500
3,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 4], 2: [0], 3: [0, 2], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9754,0.4179,0.5575000000000001,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9669,0.4417,0.5252,500
2,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9639,0.4747,0.4891999999999999,500
3,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9754,0.4349,0.5405,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9669,0.4489,0.518,500
2,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9639,0.4714,0.4925,500
3,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9754,0.4316,0.5438000000000001,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 8], 4: [0, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9669,0.4588,0.5081,500
2,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 8], 4: [0, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9639,0.487,0.4769,500
3,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 8], 4: [0, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9754,0.4284,0.547,500
1,mnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 8], 4: [0, 3, 4], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9669,0.4552,0.5117,500
