seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples,head_dict,mlp_mode,attn_mode
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7389,0.7379,0.001,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7362,0.736,0.0001999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7372,0.733,0.0041999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7389,0.7059,0.033,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7362,0.7107,0.0254999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7372,0.7076,0.0295999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7389,0.7153,0.0235999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7362,0.7146,0.0215999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7372,0.7172,0.02,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7389,0.7341,0.0048,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7362,0.7319,0.0042999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7372,0.7333,0.0039,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7389,0.7366,0.0022999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7362,0.7361,9.9999999999989e-05,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7372,0.7345,0.0026999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7389,0.7389,0.0,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7362,0.7362,0.0,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7372,0.7372,0.0,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7389,0.6676,0.0713,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7362,0.6668,0.0694,500,{},identity,identity
