skip_config,accuracy_mean,accuracy_std
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6530666666666667,0.004787831798772084
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(16, 17), (22, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7768666666666667,0.002650157228040195
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(17, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.666,0.0020000000000000018
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(17, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6696,0.0008717797887081502
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(2, 4), (18, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6317333333333334,0.0014843629385474567
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(22, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7847,0.001833030277982325
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7812333333333333,0.000709459888459785
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (20, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7354666666666666,0.000873689494805391
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (20, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7396666666666668,0.0036855573979159588
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7725666666666667,0.001550268793897757
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (15, 16)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7680666666666666,0.000550757054728621
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7738999999999999,0.0024515301344262847
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [17, 23], MLP Mode: identity, Attn: []",0.7836666666666666,0.003187998327059359
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [23], MLP Mode: linear, Attn: []",0.7819333333333334,0.0022722969289539455
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.7412666666666666,0.0015947831618540354
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 21, 22, 23], MLP Mode: identity, Attn: []",0.7579333333333333,0.0026159765544311406
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4], MLP Mode: identity, Attn: []",0.7769333333333334,0.0026839026311201077
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [8, 16], MLP Mode: identity, Attn: []",0.7792333333333333,0.0012662279942148088
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [8, 16], MLP Mode: linear, Attn: []",0.7777666666666666,0.0016802777548170927
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [17, 23]",0.7772,0.002685144316419488
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [23]",0.7827999999999999,0.0010148891565092155
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [3, 4, 19, 20, 21, 22, 23]",0.6529666666666666,0.000585946527708246
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [8, 16]",0.7718666666666666,0.0027061657993059703
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7846000000000001,0.0014933184523067734
